Symbol,Max,tcost,scores,weights_ystd,sect,mv,trend
1,0.012,0.005,0.00057944003317358,0.0029969431051462,801780.SI,252546465377.52,0.0
6,0.0021129090443964397,0.0,0.000741189861636633,0.0,801180.SI,6458395185.88,-0.0538517923471634
9,0.012,0.0,0.0006472541113055,0.00410804866038032,801230.SI,17150548238.218,0.0643093593262824
11,0.00540960602573514,0.0,0.000728786344722197,0.00198786925512777,801180.SI,4729856278.312,-0.0965583202238943
12,0.0030772128716749,0.0,0.000687526319905327,0.0,801710.SI,8967245992.102,0.0
16,0.012,0.0,0.000970259935795696,0.0,801110.SI,10591673906.2,0.0413364235285898
19,0.0108854142628029,0.0,0.0007414379080901571,0.00383956239356309,801200.SI,3542834056.3840003,0.0
21,0.012,0.0,0.00043828171100744,0.0,801080.SI,33621141878.447998,0.0434770119372131
25,0.00222427647760812,0.0,-0.000730824831024572,0.0,801880.SI,6927038451.52,-0.0529392884956654
26,0.00213714353571154,0.0,-0.0006557205296090139,0.0,801140.SI,2985716000.16,0.0
27,0.0019240872483368698,0.0,0.0009060299997984,0.0,801160.SI,21439970556.576,0.0
28,0.00407045712927711,0.0,-0.000442645511403287,0.0,801150.SI,14573283558.75,-0.112258380409363
30,0.00668650091233237,0.0,-0.0033717629942508,0.0,801880.SI,8721969591.72,0.0
31,0.00195868935804622,0.0,-0.000700524316206093,0.0,801180.SI,8974301196.184,0.0
32,0.00290847557393077,0.0,-0.000179425249410724,0.0,801770.SI,7062563009.52,0.101429088597496
34,0.012,0.0,-0.00083369573367268,0.0,801750.SI,11082099445.494,0.221255147045277
35,0.0023128792546916,0.0,3.15065928753305e-05,0.0,801160.SI,11277865762.328001,0.0
36,0.0034037064451784603,0.0,0.00014728699572849098,0.00241438196677937,801180.SI,6253214765.1119995,0.0
38,0.012,0.0,-0.000201422820087429,0.0,801760.SI,2586263825.7679996,-0.0374918224487955
49,0.012,0.0,0.0004964511556238639,0.0,801080.SI,9119389766.816,0.0793127617021895
50,0.00784422873739939,0.0,0.00039961511906260697,0.0,801080.SI,24591664491.714,0.0
58,0.0037680734218454204,0.0,-0.000622541143213448,0.0,801200.SI,3357202854.72,0.0
60,0.0048444576707036,0.0,0.000882784391406841,0.0,801050.SI,12589307724.168001,-0.0979353695157496
61,0.012,0.0,0.000119828424924801,0.0,801200.SI,13122554538.42,0.0
62,0.0015124414136948,0.0,0.000182301621047489,0.0,801080.SI,12477180828.863998,0.0
63,0.012,0.0,0.000146303286235452,0.0,801770.SI,127861681960.65599,0.0889361350648281
66,0.012,0.0,-0.000563168928185579,0.0,801750.SI,34546249075.83,0.0
70,0.00311066882808787,0.0,-0.000815930650116358,0.0,801770.SI,6863802224.551999,0.0
78,0.0080754178094833,0.0,0.0010319573875530099,0.0,801150.SI,10080921989.298,-0.00677807919479679
89,0.00587800697896961,0.0,0.000875721051980712,0.00379417842541575,801170.SI,15766315985.192,0.0
90,0.012,0.0,0.0007498952541547379,0.0033601773269207103,801180.SI,12088649456.07,0.0
99,0.00244594999712168,0.0,0.0008501848130836441,0.0,801170.SI,4145521672.8,-0.0247852971954252
100,0.012,0.0,-0.000596751965226523,0.0,801080.SI,63227404652.565994,0.0833069130678684
150,0.00820834168381167,0.0,-0.000405850129268688,0.0,801150.SI,3186885416.868,-0.147526667345369
156,0.009828720513831709,0.0,0.00017425522477637802,0.0,801760.SI,13276662644.69,0.0
157,0.012,0.0,0.000108703608268304,0.0,801890.SI,41302282947.736,0.15331770843100198
158,0.012,0.0,-0.000236060122727002,0.0,801750.SI,14732037222.96,0.053930758735137
301,0.00193485313056959,0.0,0.0008175625457023981,0.00230643281492064,801030.SI,6371376607.35,-0.0621138315500169
338,0.012,0.0,0.000204818394765402,0.0,801880.SI,55677441313.5,0.127564689639355
400,0.0116150788031403,0.0,-0.00013952608617754799,0.0,801730.SI,13111544900.56,0.005399514490497461
401,0.012,0.0,-0.000667492249442706,0.0,801710.SI,24338760012.366,0.200536895573582
402,0.0019287390919107699,0.0,0.000336224584378429,0.0,801180.SI,19610813467.944,-0.0295719741606759
403,0.012,0.0,0.0,0.0,801150.SI,15904823009.598,0.013308422161438344
417,0.00338869090989654,0.0,0.00114931667083581,0.0,801200.SI,3778283137.35,-0.11101289733152099
423,0.012,0.0,0.000739953262957705,0.0,801150.SI,23492144821.464,-0.0415318011543131
425,0.012,0.0,1.89762583472666e-05,0.0,801890.SI,41732393146.298,0.0952129939555576
488,0.00274876197680555,0.0,0.00027991385093117797,0.0,801140.SI,7991367762.56,-0.0853850108988246
501,0.012,0.0,0.000654666792114003,0.0,801200.SI,9405026373.75,0.0
505,0.0103212390359666,0.0,0.00045222692927325195,0.0,801010.SI,3264455304.628,0.0
